pathway	process
Glycolysis / Gluconeogenesis [PATH:ko00010]	Carbohydrate metabolism
Citrate cycle (TCA cycle) [PATH:ko00020]	Carbohydrate metabolism
Pentose phosphate pathway [PATH:ko00030]	Carbohydrate metabolism
Pentose and glucuronate interconversions [PATH:ko00040]	Carbohydrate metabolism
Fructose and mannose metabolism [PATH:ko00051]	Carbohydrate metabolism
Galactose metabolism [PATH:ko00052]	Carbohydrate metabolism
Ascorbate and aldarate metabolism [PATH:ko00053]	Carbohydrate metabolism
Starch and sucrose metabolism [PATH:ko00500]	Carbohydrate metabolism
Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	Carbohydrate metabolism
Pyruvate metabolism [PATH:ko00620]	Carbohydrate metabolism
Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	Carbohydrate metabolism
Propanoate metabolism [PATH:ko00640]	Carbohydrate metabolism
Butanoate metabolism [PATH:ko00650]	Carbohydrate metabolism
C5-Branched dibasic acid metabolism [PATH:ko00660]	Carbohydrate metabolism
Inositol phosphate metabolism [PATH:ko00562]	Carbohydrate metabolism
Oxidative phosphorylation [PATH:ko00190]	Energy metabolism
Photosynthesis [PATH:ko00195]	Energy metabolism
Photosynthesis - antenna proteins [PATH:ko00196]	Energy metabolism
Carbon fixation in photosynthetic organisms [PATH:ko00710]	Energy metabolism
Carbon fixation pathways in prokaryotes [PATH:ko00720]	Energy metabolism
Methane metabolism [PATH:ko00680]	Energy metabolism
Nitrogen metabolism [PATH:ko00910]	Energy metabolism
Sulfur metabolism [PATH:ko00920]	Energy metabolism
Fatty acid biosynthesis [PATH:ko00061]	Lipid metabolism
Fatty acid elongation [PATH:ko00062]	Lipid metabolism
Fatty acid degradation [PATH:ko00071]	Lipid metabolism
Synthesis and degradation of ketone bodies [PATH:ko00072]	Lipid metabolism
Cutin, suberine and wax biosynthesis [PATH:ko00073]	Lipid metabolism
Steroid biosynthesis [PATH:ko00100]	Lipid metabolism
Primary bile acid biosynthesis [PATH:ko00120]	Lipid metabolism
Secondary bile acid biosynthesis [PATH:ko00121]	Lipid metabolism
Steroid hormone biosynthesis [PATH:ko00140]	Lipid metabolism
