func_id	pathway	enzyme
K00001	Drug metabolism - cytochrome P450 [PATH:ko00982]	alcohol dehydrogenase [EC:1.1.1.1]
K00002	Caprolactam degradation [PATH:ko00930]	alcohol dehydrogenase (NADP+) [EC:1.1.1.2]
K00003	Lysine biosynthesis [PATH:ko00300]	homoserine dehydrogenase [EC:1.1.1.3]
K00004	Butanoate metabolism [PATH:ko00650]	"(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]"
K00005	Glycerolipid metabolism [PATH:ko00561]	glycerol dehydrogenase [EC:1.1.1.6]
K00006	MAPK signaling pathway - yeast [PATH:ko04011]	glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]
K00007	Fructose and mannose metabolism [PATH:ko00051]	D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00008	Fructose and mannose metabolism [PATH:ko00051]	L-iditol 2-dehydrogenase [EC:1.1.1.14]
K00009	Fructose and mannose metabolism [PATH:ko00051]	mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]
K00010	Streptomycin biosynthesis [PATH:ko00521]	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]
K00011	Folate biosynthesis [PATH:ko00790]	aldehyde reductase [EC:1.1.1.21]
K00012	Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	UDPglucose 6-dehydrogenase [EC:1.1.1.22]
K00013	Histidine metabolism [PATH:ko00340]	histidinol dehydrogenase [EC:1.1.1.23]
K00014	"Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]"	shikimate dehydrogenase [EC:1.1.1.25]
K00015	Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	glyoxylate reductase [EC:1.1.1.26]
K00016	Cysteine and methionine metabolism [PATH:ko00270]	L-lactate dehydrogenase [EC:1.1.1.27]
K00018	"Glycine, serine and threonine metabolism [PATH:ko00260]"	glycerate dehydrogenase [EC:1.1.1.29]
K00019	Synthesis and degradation of ketone bodies [PATH:ko00072]	3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]
K00020	"Valine, leucine and isoleucine degradation [PATH:ko00280]"	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
K00021	AMPK signaling pathway [PATH:ko04152]	hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]
K00022	Caprolactam degradation [PATH:ko00930]	3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]
K00023	Butanoate metabolism [PATH:ko00650]	acetoacetyl-CoA reductase [EC:1.1.1.36]
K00024	Cysteine and methionine metabolism [PATH:ko00270]	malate dehydrogenase [EC:1.1.1.37]
K00025	Cysteine and methionine metabolism [PATH:ko00270]	malate dehydrogenase [EC:1.1.1.37]
K00026	Cysteine and methionine metabolism [PATH:ko00270]	malate dehydrogenase [EC:1.1.1.37]
K00027	Two-component system [PATH:ko02020]	malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]
K00028	Carbon fixation in photosynthetic organisms [PATH:ko00710]	malate dehydrogenase (decarboxylating) [EC:1.1.1.39]
K00029	Carbon fixation in photosynthetic organisms [PATH:ko00710]	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]
K00030	Citrate cycle (TCA cycle) [PATH:ko00020]	isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]
K00031	Peroxisome [PATH:ko04146]	isocitrate dehydrogenase [EC:1.1.1.42]
K00032	Glutathione metabolism [PATH:ko00480]	phosphogluconate 2-dehydrogenase [EC:1.1.1.43]
K00033	Glutathione metabolism [PATH:ko00480]	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
K00034	Pentose phosphate pathway [PATH:ko00030]	glucose 1-dehydrogenase [EC:1.1.1.47]
K00035	Galactose metabolism [PATH:ko00052]	D-galactose 1-dehydrogenase [EC:1.1.1.48]
K00036	Glutathione metabolism [PATH:ko00480]	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
K00038	Steroid hormone biosynthesis [PATH:ko00140]	3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]
K00039	Pentose and glucuronate interconversions [PATH:ko00040]	ribitol 2-dehydrogenase [EC:1.1.1.56]
K00040	Pentose and glucuronate interconversions [PATH:ko00040]	fructuronate reductase [EC:1.1.1.57]
K00041	Pentose and glucuronate interconversions [PATH:ko00040]	tagaturonate reductase [EC:1.1.1.58]
K00042	Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]
K00043	Butanoate metabolism [PATH:ko00650]	4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]
K00045	Fructose and mannose metabolism [PATH:ko00051]	mannitol 2-dehydrogenase [EC:1.1.1.67]
K00046	Other	Other
K00048	Propanoate metabolism [PATH:ko00640]	lactaldehyde reductase [EC:1.1.1.77]
K00049	"Glycine, serine and threonine metabolism [PATH:ko00260]"	glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]
K00050	"Glycine, serine and threonine metabolism [PATH:ko00260]"	hydroxypyruvate reductase [EC:1.1.1.81]
K00051	Carbon fixation in photosynthetic organisms [PATH:ko00710]	malate dehydrogenase (NADP+) [EC:1.1.1.82]
K00052	"Valine, leucine and isoleucine biosynthesis [PATH:ko00290]"	3-isopropylmalate dehydrogenase [EC:1.1.1.85]
K00053	Pantothenate and CoA biosynthesis [PATH:ko00770]	ketol-acid reductoisomerase [EC:1.1.1.86]
K00054	Terpenoid backbone biosynthesis [PATH:ko00900]	hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]
K00055	Xylene degradation [PATH:ko00622]	aryl-alcohol dehydrogenase [EC:1.1.1.90]
K00057	Glycerophospholipid metabolism [PATH:ko00564]	glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]
K00058	"Glycine, serine and threonine metabolism [PATH:ko00260]"	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]
K00059	Prodigiosin biosynthesis [PATH:ko00333]	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
K00060	"Glycine, serine and threonine metabolism [PATH:ko00260]"	threonine 3-dehydrogenase [EC:1.1.1.103]
K00062	Other	Other
K00063	Other	Other
K00064	Ascorbate and aldarate metabolism [PATH:ko00053]	D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]
K00065	Pentose and glucuronate interconversions [PATH:ko00040]	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]
K00066	Two-component system [PATH:ko02020]	GDP-mannose 6-dehydrogenase [EC:1.1.1.132]
K00067	Streptomycin biosynthesis [PATH:ko00521]	dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]
K00068	Fructose and mannose metabolism [PATH:ko00051]	sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]
K00069	Other	Other
K00070	Steroid hormone biosynthesis [PATH:ko00140]	3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase [EC:1.1.1.145 5.3.3.1]
K00071	Steroid hormone biosynthesis [PATH:ko00140]	corticosteroid 11-beta-dehydrogenase isozyme 2 [EC:1.1.1.-]
K00072	Folate biosynthesis [PATH:ko00790]	sepiapterin reductase [EC:1.1.1.153]
K00073	Purine metabolism [PATH:ko00230]	ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]
K00074	Benzoate degradation [PATH:ko00362]	3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]
K00075	Peptidoglycan biosynthesis [PATH:ko00550]	UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]
K00076	Secondary bile acid biosynthesis [PATH:ko00121]	7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]
K00077	Pantothenate and CoA biosynthesis [PATH:ko00770]	2-dehydropantoate 2-reductase [EC:1.1.1.169]
K00078	Metabolism of xenobiotics by cytochrome P450 [PATH:ko00980]	dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179]
K00079	Metabolism of xenobiotics by cytochrome P450 [PATH:ko00980]	carbonyl reductase 1 [EC:1.1.1.184 1.1.1.189 1.1.1.197]
K00081	Metabolism of xenobiotics by cytochrome P450 [PATH:ko00980]	carbonyl reductase 2 [EC:1.1.1.184]
K00082	Riboflavin metabolism [PATH:ko00740]	5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193]
K00083	Phenylpropanoid biosynthesis [PATH:ko00940]	cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]
K00086	Glycerolipid metabolism [PATH:ko00561]	"1,3-propanediol dehydrogenase [EC:1.1.1.202]"
K00087	Purine metabolism [PATH:ko00230]	xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]
K00088	Drug metabolism - other enzymes [PATH:ko00983]	IMP dehydrogenase [EC:1.1.1.205]
K00090	"Glycine, serine and threonine metabolism [PATH:ko00260]"	glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]
K00091	Other	Other
K00094	Galactose metabolism [PATH:ko00052]	galactitol-1-phosphate 5-dehydrogenase [EC:1.1.1.251]
K00096	Glycerophospholipid metabolism [PATH:ko00564]	glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]
K00097	Vitamin B6 metabolism [PATH:ko00750]	4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]
K00098	Other	Other
K00099	Terpenoid backbone biosynthesis [PATH:ko00900]	1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]
K00100	Butanoate metabolism [PATH:ko00650]	butanol dehydrogenase [EC:1.1.1.-]
K00101	Pyruvate metabolism [PATH:ko00620]	L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]
K00102	Pyruvate metabolism [PATH:ko00620]	D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]
K00103	Ascorbate and aldarate metabolism [PATH:ko00053]	L-gulonolactone oxidase [EC:1.1.3.8]
K00104	Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	glycolate oxidase [EC:1.1.3.15]
K00105	Glycerophospholipid metabolism [PATH:ko00564]	alpha-glycerophosphate oxidase [EC:1.1.3.21]
K00106	Peroxisome [PATH:ko04146]	xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2]
K00107	Other	Other
K00108	"Glycine, serine and threonine metabolism [PATH:ko00260]"	choline dehydrogenase [EC:1.1.99.1]
K00109	Butanoate metabolism [PATH:ko00650]	2-hydroxyglutarate dehydrogenase [EC:1.1.99.2]
K00111	Glycerophospholipid metabolism [PATH:ko00564]	glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]
K00112	Glycerophospholipid metabolism [PATH:ko00564]	glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]
K00113	Glycerophospholipid metabolism [PATH:ko00564]	glycerol-3-phosphate dehydrogenase subunit C [EC:1.1.5.3]
K00114	Chloroalkane and chloroalkene degradation [PATH:ko00625]	alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]
K00115	Pentose phosphate pathway [PATH:ko00030]	"glucose 1-dehydrogenase (FAD, quinone) [EC:1.1.5.9]"
K00116	Pyruvate metabolism [PATH:ko00620]	malate dehydrogenase (quinone) [EC:1.1.5.4]
K00117	Pentose phosphate pathway [PATH:ko00030]	quinoprotein glucose dehydrogenase [EC:1.1.5.2]
K00118	Other	Other
K00121	Drug metabolism - cytochrome P450 [PATH:ko00982]	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]
K00122	Methane metabolism [PATH:ko00680]	formate dehydrogenase [EC:1.17.1.9]
K00123	Methane metabolism [PATH:ko00680]	formate dehydrogenase major subunit [EC:1.17.1.9]
K00124	Methane metabolism [PATH:ko00680]	formate dehydrogenase iron-sulfur subunit
K00125	Methane metabolism [PATH:ko00680]	formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6]
K00126	Methane metabolism [PATH:ko00680]	formate dehydrogenase subunit delta [EC:1.17.1.9]
K00127	Methane metabolism [PATH:ko00680]	formate dehydrogenase subunit gamma
K00128	Chloroalkane and chloroalkene degradation [PATH:ko00625]	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
K00129	Drug metabolism - cytochrome P450 [PATH:ko00982]	aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]
K00130	"Glycine, serine and threonine metabolism [PATH:ko00260]"	betaine-aldehyde dehydrogenase [EC:1.2.1.8]
K00131	Pentose phosphate pathway [PATH:ko00030]	glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]
K00132	Butanoate metabolism [PATH:ko00650]	acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]
K00133	Monobactam biosynthesis [PATH:ko00261]	aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]
K00134	HIF-1 signaling pathway [PATH:ko04066]	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
K00135	Nicotinate and nicotinamide metabolism [PATH:ko00760]	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
K00137	beta-Alanine metabolism [PATH:ko00410]	aminobutyraldehyde dehydrogenase [EC:1.2.1.19]
K00138	Pyruvate metabolism [PATH:ko00620]	aldehyde dehydrogenase [EC:1.2.1.-]
K00139	"Alanine, aspartate and glutamate metabolism [PATH:ko00250]"	succinate-semialdehyde dehydrogenase [EC:1.2.1.24]
K00140	beta-Alanine metabolism [PATH:ko00410]	malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]
K00141	Xylene degradation [PATH:ko00622]	benzaldehyde dehydrogenase (NAD) [EC:1.2.1.28]
K00142	Other	Other
K00143	Lysine biosynthesis [PATH:ko00300]	L-2-aminoadipate reductase [EC:1.2.1.95]
K00145	Arginine biosynthesis [PATH:ko00220]	N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]
K00146	Styrene degradation [PATH:ko00643]	phenylacetaldehyde dehydrogenase [EC:1.2.1.39]
K00147	Carbapenem biosynthesis [PATH:ko00332]	glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]
K00148	Chloroalkane and chloroalkene degradation [PATH:ko00625]	glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]
K00150	Carbon fixation in photosynthetic organisms [PATH:ko00710]	glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]
K00151	Tyrosine metabolism [PATH:ko00350]	5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]
K00152	Naphthalene degradation [PATH:ko00626]	salicylaldehyde dehydrogenase [EC:1.2.1.65]
K00153	Other	Other
K00154	Other	Other
K00156	Pyruvate metabolism [PATH:ko00620]	pyruvate dehydrogenase (quinone) [EC:1.2.5.1]
K00157	Jak-STAT signaling pathway [PATH:ko04630]	aldehyde oxidase [EC:1.2.3.1]
K00158	Pyruvate metabolism [PATH:ko00620]	pyruvate oxidase [EC:1.2.3.3]
K00161	HIF-1 signaling pathway [PATH:ko04066]	pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]
K00162	HIF-1 signaling pathway [PATH:ko04066]	pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]
K00163	Pyruvate metabolism [PATH:ko00620]	pyruvate dehydrogenase E1 component [EC:1.2.4.1]
K00164	Tryptophan metabolism [PATH:ko00380]	2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
K00166	"Valine, leucine and isoleucine degradation [PATH:ko00280]"	2-oxoisovalerate dehydrogenase E1 component alpha subunit [EC:1.2.4.4]
K00167	"Valine, leucine and isoleucine degradation [PATH:ko00280]"	2-oxoisovalerate dehydrogenase E1 component beta subunit [EC:1.2.4.4]
K00169	Nitrotoluene degradation [PATH:ko00633]	pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]
K00170	Nitrotoluene degradation [PATH:ko00633]	pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]
K00171	Nitrotoluene degradation [PATH:ko00633]	pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]
K00172	Nitrotoluene degradation [PATH:ko00633]	pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]
K00174	Carbon fixation pathways in prokaryotes [PATH:ko00720]	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]
K00175	Carbon fixation pathways in prokaryotes [PATH:ko00720]	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]
K00176	Carbon fixation pathways in prokaryotes [PATH:ko00720]	2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]
K00177	Carbon fixation pathways in prokaryotes [PATH:ko00720]	2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]
K00179	Other	Other
K00180	Other	Other
K00181	Wnt signaling pathway [PATH:ko04310]	O-palmitoleoyl transferase [EC:2.3.1.250]
K00183	Other	Other
K00184	Other	Other
K00185	Other	Other
K00186	"Valine, leucine and isoleucine degradation [PATH:ko00280]"	"2-oxoisovalerate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.7]"
K00187	"Valine, leucine and isoleucine degradation [PATH:ko00280]"	"2-oxoisovalerate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.7]"
K00188	"Valine, leucine and isoleucine degradation [PATH:ko00280]"	"2-oxoisovalerate ferredoxin oxidoreductase, delta subunit [EC:1.2.7.7]"
K00194	Methane metabolism [PATH:ko00680]	acetyl-CoA decarbonylase/synthase complex subunit delta [EC:2.1.1.245]
K00196	Nitrotoluene degradation [PATH:ko00633]	anaerobic carbon-monoxide dehydrogenase iron sulfur subunit
K00197	Methane metabolism [PATH:ko00680]	acetyl-CoA decarbonylase/synthase complex subunit gamma [EC:2.1.1.245]
K00198	Nitrotoluene degradation [PATH:ko00633]	anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]
K00200	Methane metabolism [PATH:ko00680]	formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12]
K00201	Methane metabolism [PATH:ko00680]	formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12]
K00202	Methane metabolism [PATH:ko00680]	formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12]
