pathway	enzyme	ko_id	anygene_name
1	Glycolysis / Gluconeogenesis [PATH:ko00010]	hexokinase [EC:2.7.1.1]	K00844	HK
2	Glycolysis / Gluconeogenesis [PATH:ko00010]	glucokinase [EC:2.7.1.2]	K12407	GCK
3	Glycolysis / Gluconeogenesis [PATH:ko00010]	glucokinase [EC:2.7.1.2]	K00845	glk
4	Glycolysis / Gluconeogenesis [PATH:ko00010]	glucose-6-phosphate isomerase [EC:5.3.1.9]	K01810	GPI
5	Glycolysis / Gluconeogenesis [PATH:ko00010]	glucose-6-phosphate isomerase, archaeal [EC:5.3.1.9]	K06859	pgi1
6	Glycolysis / Gluconeogenesis [PATH:ko00010]	transaldolase / glucose-6-phosphate isomerase [EC:2.2.1.2 5.3.1.9]	K13810	tal-pgi
7	Glycolysis / Gluconeogenesis [PATH:ko00010]	glucose/mannose-6-phosphate isomerase [EC:5.3.1.9 5.3.1.8]	K15916	pgi-pmi
8	Glycolysis / Gluconeogenesis [PATH:ko00010]	6-phosphofructokinase 1 [EC:2.7.1.11]	K00850	pfkA
9	Glycolysis / Gluconeogenesis [PATH:ko00010]	6-phosphofructokinase 2 [EC:2.7.1.11]	K16370	pfkB
10	Glycolysis / Gluconeogenesis [PATH:ko00010]	ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90]	K21071	pfk
11	Glycolysis / Gluconeogenesis [PATH:ko00010]	ADP-dependent phosphofructokinase/glucokinase [EC:2.7.1.146 2.7.1.147]	K00918	pfkC
12	Glycolysis / Gluconeogenesis [PATH:ko00010]	diphosphate-dependent phosphofructokinase [EC:2.7.1.90]	K00895	pfp
13	Glycolysis / Gluconeogenesis [PATH:ko00010]	fructose-1,6-bisphosphatase I [EC:3.1.3.11]	K03841	FBP
14	Glycolysis / Gluconeogenesis [PATH:ko00010]	fructose-1,6-bisphosphatase II [EC:3.1.3.11]	K02446	glpX
15	Glycolysis / Gluconeogenesis [PATH:ko00010]	fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]	K11532	glpX-SEBP
16	Glycolysis / Gluconeogenesis [PATH:ko00010]	fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]	K01086	fbp-SEBP
17	Glycolysis / Gluconeogenesis [PATH:ko00010]	fructose-1,6-bisphosphatase III [EC:3.1.3.11]	K04041	fbp3
18	Glycolysis / Gluconeogenesis [PATH:ko00010]	fructose-bisphosphate aldolase, class I [EC:4.1.2.13]	K01623	ALDO
19	Glycolysis / Gluconeogenesis [PATH:ko00010]	fructose-bisphosphate aldolase, class I [EC:4.1.2.13]	K11645	fbaB
20	Glycolysis / Gluconeogenesis [PATH:ko00010]	fructose-bisphosphate aldolase, class II [EC:4.1.2.13]	K01624	FBA
21	Glycolysis / Gluconeogenesis [PATH:ko00010]	fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11]	K01622	K01622
22	Glycolysis / Gluconeogenesis [PATH:ko00010]	fructose-bisphosphate aldolase / 6-deoxy-5-ketofructose 1-phosphate synthase [EC:4.1.2.13 2.2.1.11]	K16305	K16305
23	Glycolysis / Gluconeogenesis [PATH:ko00010]	fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase [EC:4.1.2.13 2.2.1.10]	K16306	K16306
24	Glycolysis / Gluconeogenesis [PATH:ko00010]	triosephosphate isomerase (TIM) [EC:5.3.1.1]	K01803	TPI
25	Glycolysis / Gluconeogenesis [PATH:ko00010]	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	K00134	GAPDH
26	Glycolysis / Gluconeogenesis [PATH:ko00010]	glyceraldehyde-3-phosphate dehydrogenase, spermatogenic [EC:1.2.1.12]	K10705	GAPDHS
27	Glycolysis / Gluconeogenesis [PATH:ko00010]	glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]	K00150	gap2
28	Glycolysis / Gluconeogenesis [PATH:ko00010]	phosphoglycerate kinase [EC:2.7.2.3]	K00927	PGK
29	Glycolysis / Gluconeogenesis [PATH:ko00010]	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]	K01834	PGAM
30	Glycolysis / Gluconeogenesis [PATH:ko00010]	2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]	K15633	gpmI
31	Glycolysis / Gluconeogenesis [PATH:ko00010]	probable phosphoglycerate mutase [EC:5.4.2.12]	K15634	gpmB
32	Glycolysis / Gluconeogenesis [PATH:ko00010]	2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]	K15635	apgM
33	Glycolysis / Gluconeogenesis [PATH:ko00010]	enolase [EC:4.2.1.11]	K01689	ENO
34	Glycolysis / Gluconeogenesis [PATH:ko00010]	pyruvate kinase [EC:2.7.1.40]	K00873	PK
35	Glycolysis / Gluconeogenesis [PATH:ko00010]	pyruvate kinase isozymes R/L [EC:2.7.1.40]	K12406	PKLR
36	Glycolysis / Gluconeogenesis [PATH:ko00010]	pyruvate dehydrogenase E1 component [EC:1.2.4.1]	K00163	aceE
